n,time
0,0.00014400482177734375
100,0.02344202995300293
200,0.0003941059112548828
300,0.000537872314453125
400,0.020650863647460938
500,8.320808410644531e-05
600,6.008148193359375e-05
700,0.020214080810546875
800,8.606910705566406e-05
900,6.699562072753906e-05
1000,0.03944587707519531
1100,9.989738464355469e-05
1200,7.891654968261719e-05
1300,0.04540085792541504
1400,9.584426879882812e-05
1500,0.00012612342834472656
1600,0.06461501121520996
1700,0.00010895729064941406
1800,9.202957153320312e-05
1900,0.07092714309692383
2000,0.0001671314239501953
2100,0.00010704994201660156
2200,0.08401083946228027
2300,0.00016498565673828125
2400,0.00010395050048828125
2500,0.1024179458618164
2600,0.00013017654418945312
2700,0.00011110305786132812
2800,0.12793922424316406
2900,0.00014090538024902344
3000,0.0001220703125
3100,0.14450716972351074
3200,0.00014400482177734375
3300,0.000125885009765625
3400,0.17741608619689941
3500,0.0001461505889892578
3600,0.00016617774963378906
3700,0.20662617683410645
3800,0.0001900196075439453
3900,0.000141143798828125
4000,0.23865318298339844
4100,0.00016617774963378906
4200,0.00015020370483398438
4300,0.28069305419921875
4400,0.0001780986785888672
4500,0.00021719932556152344
4600,0.33121800422668457
4700,0.0001819133758544922
4800,0.00016307830810546875
4900,0.3353140354156494
5000,0.000186920166015625
5100,0.00016808509826660156
5200,0.38217711448669434
5300,0.00019407272338867188
5400,0.00017905235290527344
5500,0.4044039249420166
5600,0.0002028942108154297
5700,0.0002319812774658203
5800,0.45368313789367676
5900,0.0002040863037109375
6000,0.0002269744873046875
6100,0.49913907051086426
6200,0.0002570152282714844
6300,0.00020194053649902344
6400,0.5483031272888184
6500,0.00022220611572265625
6600,0.00020313262939453125
6700,0.6026279926300049
6800,0.0002510547637939453
6900,0.0002148151397705078
7000,0.6288070678710938
7100,0.000244140625
7200,0.0002338886260986328
7300,0.6754419803619385
7400,0.0002639293670654297
7500,0.0002830028533935547
7600,0.7485499382019043
7700,0.0002808570861816406
7800,0.0002589225769042969
7900,0.7912421226501465
8000,0.0002970695495605469
8100,0.0002429485321044922
8200,0.8519730567932129
8300,0.0003330707550048828
8400,0.0002510547637939453
8500,0.9086780548095703
8600,0.00030612945556640625
8700,0.0002849102020263672
8800,0.9938318729400635
8900,0.00031495094299316406
9000,0.00028204917907714844
9100,1.0447289943695068
9200,0.0003719329833984375
9300,0.0002930164337158203
9400,1.18064284324646
9500,0.00038814544677734375
9600,0.00029206275939941406
9700,1.1897459030151367
9800,0.00034689903259277344
9900,0.00032401084899902344
10000,1.2422459125518799
10100,0.004182100296020508
10200,0.0003228187561035156
10300,1.360403060913086
10400,0.0003879070281982422
10500,0.0002989768981933594
10600,1.409574031829834
10700,0.00037598609924316406
10800,0.00036907196044921875
10900,1.4891431331634521
11000,0.0003809928894042969
11100,0.00035881996154785156
11200,1.6113650798797607
11300,0.00038504600524902344
11400,0.00035500526428222656
11500,1.6549351215362549
11600,0.0003941059112548828
11700,0.00032782554626464844
11800,1.7522599697113037
11900,0.00037097930908203125
12000,0.0003581047058105469
12100,1.8034119606018066
12200,0.00041413307189941406
12300,0.0004029273986816406
12400,1.8986802101135254
12500,0.004091024398803711
12600,0.0005259513854980469
12700,1.9839048385620117
